АБДОМИНОПЛАСТИКА	["144594-N", "5390-N", "113873-N"]	['КОСМЕТИЧЕСКАЯ ОПЕРАЦИЯ', 'ХИРУРГИЧЕСКАЯ ОПЕРАЦИЯ', 'ПЛАСТИЧЕСКАЯ ОПЕРАЦИЯ']
АБСОРБЕНТ	["820-N", "147134-N"]	['ВЕЩЕСТВО', 'ФИЗИЧЕСКАЯ СУЩНОСТЬ']
АВАЛЬ	["9063-N", "116527-N", "150684-N"]	['ПОРУЧИТЕЛЬСТВО', 'РУЧАТЕЛЬСТВО', 'ГАРАНТИЯ ОСУЩЕСТВЛЕНИЯ']
АВАЛЬ	["107542-N", "2966-N"]	['НАДПИСЬ (КОРОТКИЙ ТЕКСТ)', 'ТЕКСТ']
АВТАРКИЯ	["601-N", "833-N", "137766-N", "133994-N"]	['ГОСУДАРСТВЕННАЯ ПОЛИТИКА', 'ЭКОНОМИЧЕСКАЯ ПОЛИТИКА', 'ВНУТРЕННЯЯ ПОЛИТИКА', 'ПОЛИТИКА (НАПРАВЛЕНИЕ ДЕЯТЕЛЬНОСТИ)']
АВТАРКИЯ	["119136-N"]	['САМОСТОЯТЕЛЬНОСТЬ, НЕЗАВИСИМОСТЬ']
АГНОСТИК	["107524-N", "130993-N", "153097-N", "2149-N"]	['ПОСЛЕДОВАТЕЛЬ', 'ЕДИНОМЫШЛЕННИК', 'ЧЕЛОВЕК ПО ВЗГЛЯДАМ', 'ЧЕЛОВЕК']
АДЖИКА	["107911-N", "368-N"]	['ПРИПРАВА', 'ПРОДУКТЫ ПИТАНИЯ']
АДЪЮНКТУРА	["130011-N", "1384-N"]	['ПОСЛЕВУЗОВСКОЕ ОБРАЗОВАНИЕ', 'АСПИРАНТУРА']
АЙПАД	["151577-N", "149539-N"]	['ПЛАНШЕТНЫЙ КОМПЬЮТЕР', 'МОБИЛЬНЫЙ КОМПЬЮТЕР']
АКВАБАЙК	["4187-N", "4420-N", "6921-N"]	['МОТОЦИКЛ', 'ИНДИВИДУАЛЬНЫЙ ТРАНСПОРТ', 'МОТОТРАНСПОРТНОЕ СРЕДСТВО']
АКВЕДУК	["3639-N"]	['ИНЖЕНЕРНОЕ СООРУЖЕНИЕ']
АКВЕДУК	["4161-N", "4160-N"]	['ДОРОЖНОЕ СООРУЖЕНИЕ', 'МОСТ']
АКВЕДУК	["6489-N"]	['ВОДОХОЗЯЙСТВЕННОЕ СООРУЖЕНИЕ']
АКСЕЛЬБАНТ	["116413-N", "143489-N"]	['ШНУР (ВЕРЕВКА)', 'КАНАТНО-ВЕРЕВОЧНЫЕ ИЗДЕЛИЯ']
АКСЕЛЬБАНТ	["108815-N"]	['ТЕСЬМА']
АКСЕЛЬБАНТ	["116800-N"]	['НАШИВКА НА ОДЕЖДЕ']
АКТИРОВАНИЕ	["106999-N", "106868-N"]	['УДОСТОВЕРЯТЬ', 'СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ']
АКТИРОВАНИЕ	["107009-N", "107668-N"]	['ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ', 'СОЧИНИТЬ ПРОИЗВЕДЕНИЕ']
АЛАВИТ	["124312-N", "4546-N"]	['ШИИТ', 'МУСУЛЬМАНИН']
АЛЕКСАНДРИТ	["3417-N", "144866-N", "103-N", "128017-N"]	['МИНЕРАЛ', 'ДРАГОЦЕННЫЕ МЕТАЛЛЫ И КАМНИ', 'ДРАГОЦЕННЫЙ КАМЕНЬ', 'СОКРОВИЩА']
АЛЬПИНИАДА	["7158-N", "124971-N"]	['МАССОВАЯ АКЦИЯ', 'АКЦИЯ (ДЕЙСТВИЕ)']
АЛЬПИНИАДА	["117484-N", "148955-N", "148956-N"]	['ВЗОЙТИ, ПОДНЯТЬСЯ ПЕШКОМ', 'ПОКОРИТЬ (ОСВОИТЬ)', 'ПОКОРЕНИЕ ГОРНОЙ ВЕРШИНЫ']
