phosphor	compound.n.02,synthetic.n.01
homozygote	cell.n.02,zygote.n.01
flavone	chemical.n.01,compound.n.02
employable	person.n.01,worker.n.01
DDC	antiviral.n.01,medicine.n.02
zebibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Bo_Hai	body_of_water.n.01,bay.n.01
concentration_gradient	gradient.n.01,change.n.02
Saint_Teresa_of_Avila	saint.n.01,deity.n.01
Zulu	person.n.01,african.n.01
Zulu	community.n.01,gathering.n.01
Zulu	bantu.n.02,nguni.n.01
alluvial_plain	plain.n.01,flat.n.01
Gerard_Kuiper	astronomer.n.01,physicist.n.01
Kumasi	city.n.01,municipality.n.01
Kuiper_belt	location.n.01,region.n.01
Indus_civilization	culture.n.01,society.n.01
homepage	text_file.n.01,web_page.n.01
Nefud	biome.n.01,desert.n.01,tract.n.01
Levitra	virility_drug.n.01,drug.n.01
Boniface_VIII	pope.n.01,catholic.n.01,spiritual_leader.n.01
George_V	king_of_england.n.01,king.n.01
corporatism	power.n.01,control.n.01
Noah_and_the_Flood	geological_phenomenon.n.01,flood.n.01
wittol	cuckold.n.01,husband.n.01
folding_saw	saw.n.02,hand_tool.n.01
Hegelian	follower.n.01,person.n.01
salutatory	oratory.n.01,address.n.03
private_citizen	citizen.n.01,national.n.01
webmaster	skilled_worker.n.01,technician.n.01
coprolite	fecal_matter.n.01,droppings.n.01
loungewear	consumer_goods.n.01,clothing.n.01,covering.n.02
pons_Varolii	structure.n.04,neural_structure.n.01
portable_circular_saw	circular_saw.n.01,power_saw.n.01
agamete	plant_organ.n.01,reproductive_structure.n.01
stock-take	listing.n.02,inventory.n.05
dietary_supplement	diet.n.01,fare.n.04
Salmon_P._Chase	judge.n.01,chief_justice.n.01
Salmon_P._Chase	leader.n.01,politician.n.02
didacticism	abstraction.n.06,communication.n.02
acrylonitrile-butadiene-styrene	plastic.n.01,solid.n.01
St._James	apostle.n.03,disciple.n.01,christian.n.01
St._James	saint.n.01,deity.n.01
fictitious_name	language_unit.n.01,name.n.01
MPEG	encoding.n.01,compression.n.03
NGA	administrative_unit.n.01,agency.n.01
devotional	service.n.03,religious_ceremony.n.01
intermediate_vector_boson	gauge_boson.n.01,boson.n.01
